时间,电压传感器值,电流传感器值,位移传感器值,
  20:53:22 ,67,0,0,
  20:53:22 ,67,0,0,
  20:53:21 ,67,0,0,
  20:53:21 ,67,0,0,
  20:53:21 ,67,0,0,
  20:53:21 ,67,0,0,
  20:53:21 ,67,0,0,
  20:53:20 ,67,0,0,
  20:53:20 ,67,0,0,
  20:53:20 ,67,0,0,
  20:53:20 ,67,0,0,
  20:53:20 ,67,0,0,
  20:53:19 ,67,0,0,
  20:53:19 ,67,0,0,
  20:53:19 ,67,0,0,
  20:53:19 ,67,0,0,
  20:53:19 ,67,0,0,
  20:53:18 ,67,0,0,
  20:53:18 ,67,0,0,
  20:53:18 ,67,0,0,
  20:53:18 ,67,0,0,
  20:53:18 ,67,0,0,
  20:53:17 ,67,0,0,
  20:53:17 ,67,0,0,
  20:53:17 ,66,0,0,
  20:53:17 ,66,0,0,
  20:53:17 ,66,0,0,
  20:53:16 ,66,0,0,
  20:53:16 ,66,0,0,
  20:53:16 ,66,0,0,
  20:53:16 ,66,0,0,
  20:53:16 ,66,0,0,
  20:53:15 ,66,0,0,
  20:53:15 ,66,1,0,
  20:53:15 ,65,19,0,
  20:53:15 ,23,99,0,
  20:53:15 ,22,101,0,
  20:53:14 ,23,100,0,
  20:53:14 ,22,101,0,
  20:53:14 ,26,96,0,
  20:53:14 ,26,95,0,
  20:53:14 ,26,95,0,
  20:53:13 ,28,96,0,
  20:53:13 ,26,98,0,
  20:53:13 ,22,100,0,
  20:53:13 ,27,95,0,
  20:53:13 ,26,96,0,
  20:53:12 ,22,100,0,
  20:53:12 ,23,99,0,
  20:53:12 ,24,100,0,
  20:53:12 ,23,100,0,
  20:53:12 ,23,99,0,
  20:53:11 ,23,99,0,
  20:53:11 ,25,98,0,
  20:53:11 ,23,98,0,
  20:53:11 ,26,97,0,
  20:53:11 ,27,96,0,
  20:53:10 ,24,97,0,
  20:53:10 ,27,97,0,
  20:53:10 ,23,99,0,
  20:53:10 ,23,99,0,
  20:53:10 ,24,97,0,
  20:53:09 ,25,97,0,
  20:53:09 ,27,96,0,
  20:53:09 ,21,101,0,
  20:53:09 ,24,99,0,
  20:53:09 ,25,99,0,
  20:53:08 ,25,97,0,
  20:53:08 ,25,98,0,
  20:53:08 ,32,91,0,
  20:53:08 ,22,101,0,
  20:53:08 ,23,99,0,
  20:53:07 ,23,100,0,
  20:53:07 ,24,99,0,
  20:53:07 ,23,100,0,
  20:53:07 ,25,99,0,
  20:53:07 ,22,100,0,
  20:53:06 ,28,96,0,
  20:53:06 ,24,98,0,
  20:53:06 ,25,97,0,
  20:53:06 ,26,97,0,
  20:53:06 ,26,98,0,
  20:53:05 ,23,99,0,
  20:53:05 ,24,99,0,
  20:53:05 ,26,98,0,
  20:53:05 ,23,101,0,
  20:53:05 ,24,99,0,
  20:53:04 ,23,99,0,
  20:53:04 ,25,95,0,
  20:53:04 ,32,91,0,
  20:53:04 ,29,93,0,
  20:53:04 ,27,97,0,
  20:53:03 ,25,98,0,
  20:53:03 ,23,99,0,
  20:53:03 ,24,99,0,
  20:53:03 ,23,100,0,
  20:53:03 ,26,97,0,
  20:53:02 ,24,100,0,
  20:53:02 ,22,101,0,
  20:53:02 ,28,96,0,
  20:53:02 ,27,96,0,
  20:53:02 ,25,98,0,
  20:53:01 ,27,96,0,
  20:53:01 ,29,94,0,
  20:53:01 ,23,99,0,
  20:53:01 ,26,95,0,
  20:53:01 ,27,95,0,
  20:53:00 ,28,96,0,
  20:53:00 ,25,98,0,
  20:53:00 ,24,99,0,
  20:53:00 ,27,96,0,
  20:53:00 ,26,98,0,
  20:52:59 ,22,102,0,
  20:52:59 ,27,96,0,
  20:52:59 ,27,96,0,
  20:52:59 ,28,96,0,
  20:52:59 ,27,96,0,
  20:52:58 ,28,94,0,
  20:52:58 ,27,95,0,
  20:52:58 ,29,94,0,
  20:52:58 ,28,96,0,
  20:52:58 ,26,97,0,
  20:52:57 ,27,97,0,
  20:52:57 ,22,100,0,
  20:52:57 ,24,97,0,
  20:52:57 ,29,94,0,
  20:52:57 ,28,96,0,
  20:52:56 ,27,96,0,
  20:52:56 ,25,98,0,
  20:52:56 ,28,95,0,
  20:52:56 ,25,97,0,
  20:52:56 ,25,98,0,
  20:52:55 ,26,97,0,
  20:52:55 ,24,98,0,
  20:52:55 ,29,93,0,
  20:52:55 ,25,99,0,
  20:52:55 ,24,99,0,
  20:52:54 ,25,100,0,
  20:52:54 ,24,99,0,
  20:52:54 ,24,99,0,
  20:52:54 ,23,100,0,
  20:52:54 ,26,97,0,
  20:52:53 ,24,100,0,
  20:52:53 ,26,98,0,
  20:52:53 ,24,100,0,
  20:52:53 ,27,95,0,
  20:52:53 ,23,99,0,
  20:52:52 ,22,100,0,
  20:52:52 ,24,99,0,
  20:52:52 ,23,102,0,
  20:52:52 ,22,101,0,
  20:52:52 ,23,99,0,
  20:52:51 ,23,100,0,
  20:52:51 ,26,96,0,
  20:52:51 ,32,91,0,
  20:52:51 ,29,96,0,
  20:52:51 ,26,98,0,
  20:52:50 ,23,100,0,
  20:52:50 ,26,99,0,
  20:52:50 ,24,99,0,
  20:52:50 ,26,98,0,
  20:52:50 ,27,97,0,
  20:52:49 ,25,98,0,
  20:52:49 ,25,100,0,
  20:52:49 ,25,99,0,
  20:52:49 ,25,99,0,
  20:52:49 ,26,99,0,
  20:52:48 ,26,98,0,
  20:52:48 ,27,98,0,
  20:52:48 ,27,97,0,
  20:52:48 ,24,100,0,
  20:52:48 ,28,96,0,
  20:52:47 ,27,97,0,
  20:52:47 ,31,92,0,
  20:52:47 ,26,96,0,
  20:52:47 ,34,91,0,
  20:52:47 ,26,98,0,
  20:52:46 ,25,99,0,
  20:52:46 ,24,100,0,
  20:52:46 ,26,99,0,
  20:52:46 ,23,100,0,
  20:52:46 ,25,100,0,
  20:52:45 ,25,95,0,
  20:52:45 ,32,98,0,
  20:52:45 ,24,96,0,
  20:52:45 ,64,3,0,
  20:52:45 ,67,0,0,
  20:52:44 ,67,0,0,
  20:52:44 ,67,0,0,
  20:52:44 ,67,0,0,
  20:52:44 ,67,0,0,
  20:52:44 ,67,0,0,
  20:52:43 ,67,0,0,
  20:52:43 ,67,0,0,
  20:52:43 ,67,0,0,
  20:52:43 ,67,0,0,
  20:52:43 ,67,0,0,
  20:52:42 ,67,0,0,
  20:52:42 ,67,0,0,
  20:52:42 ,67,0,0,
  20:52:42 ,67,0,0,
  20:52:42 ,67,0,0,
  20:52:41 ,67,0,0,
  20:52:41 ,67,0,0,
  20:52:41 ,67,0,0,
  20:52:41 ,67,0,0,
  20:52:41 ,67,0,0,
  20:52:40 ,67,0,0,
  20:52:40 ,67,0,0,
  20:52:40 ,67,0,0,
  20:52:40 ,67,0,0,
  20:52:40 ,67,0,0,
  20:52:39 ,67,0,0,
  20:52:39 ,67,0,0,
  20:52:39 ,67,0,0,
  20:52:39 ,67,0,0,
  20:52:39 ,67,0,0,
  20:52:38 ,67,0,0,
  20:52:38 ,67,0,0,
  20:52:38 ,67,0,0,
  20:52:38 ,67,0,0,
  20:52:38 ,67,0,0,
  20:52:37 ,67,0,0,
  20:52:37 ,67,0,0,
  20:52:37 ,67,0,0,
  20:52:37 ,67,0,0,
  20:52:37 ,67,0,0,
  20:52:36 ,67,0,0,
  20:52:36 ,67,0,0,
  20:52:36 ,67,0,0,
  20:52:36 ,67,0,0,
  20:52:36 ,67,0,0,
  20:52:35 ,67,0,0,
  20:52:35 ,67,0,0,
  20:52:35 ,67,0,0,
  20:52:35 ,67,0,0,
  20:52:35 ,67,0,0,
  20:52:34 ,67,0,0,
  20:52:34 ,67,0,0,
  20:52:34 ,67,0,0,
  20:52:34 ,67,0,0,
  20:52:34 ,67,0,0,
  20:52:33 ,67,0,0,
  20:52:33 ,67,0,0,
  20:52:33 ,67,0,0,
  20:52:33 ,67,0,0,
  20:52:33 ,67,0,0,
  20:52:32 ,67,0,0,
  20:52:32 ,67,0,0,
  20:52:32 ,67,0,0,
  20:52:32 ,67,0,0,
  20:52:32 ,67,0,0,
