时间,电压传感器值,电流传感器值,位移传感器值
  21:46:15 ,66,0,0
  21:46:15 ,66,0,0
  21:46:14 ,66,0,0
  21:46:14 ,66,0,0
  21:46:14 ,66,0,0
  21:46:14 ,66,0,0
  21:46:14 ,66,0,0
  21:46:13 ,66,0,0
  21:46:13 ,66,0,0
  21:46:13 ,66,0,0
  21:46:13 ,66,0,0
  21:46:13 ,66,0,0
  21:46:12 ,66,0,0
  21:46:12 ,66,0,0
  21:46:12 ,66,0,0
  21:46:12 ,66,0,0
  21:46:12 ,66,0,0
  21:46:11 ,66,0,0
  21:46:11 ,66,0,0
  21:46:11 ,66,0,0
  21:46:11 ,66,0,0
  21:46:11 ,66,0,0
  21:46:10 ,66,0,0
  21:46:10 ,66,0,0
  21:46:10 ,66,0,0
  21:46:10 ,66,0,0
  21:46:10 ,66,0,0
  21:46:09 ,66,0,0
  21:46:09 ,66,0,0
  21:46:09 ,66,0,0
  21:46:09 ,65,5,0
  21:46:09 ,35,86,0
  21:46:08 ,26,96,0
  21:46:08 ,23,98,0
  21:46:08 ,25,98,0
  21:46:08 ,23,97,0
  21:46:08 ,29,94,0
  21:46:07 ,26,96,0
  21:46:07 ,24,98,0
  21:46:07 ,24,99,0
  21:46:07 ,24,99,0
  21:46:07 ,26,98,0
  21:46:06 ,24,99,0
  21:46:06 ,23,100,0
  21:46:06 ,25,98,0
  21:46:06 ,26,97,0
  21:46:06 ,23,100,0
  21:46:05 ,24,99,0
  21:46:05 ,25,97,0
  21:46:05 ,26,97,0
  21:46:05 ,26,97,0
  21:46:05 ,25,99,0
  21:46:04 ,24,99,0
  21:46:04 ,22,99,0
  21:46:04 ,24,100,0
  21:46:04 ,23,101,0
  21:46:04 ,24,100,0
  21:46:03 ,22,102,0
  21:46:03 ,23,100,0
  21:46:03 ,25,99,0
  21:46:03 ,22,100,0
  21:46:03 ,24,98,0
  21:46:02 ,25,98,0
  21:46:02 ,24,101,0
  21:46:02 ,23,102,0
  21:46:02 ,22,99,0
  21:46:02 ,26,99,0
  21:46:01 ,23,102,0
  21:46:01 ,23,101,0
  21:46:01 ,20,101,0
  21:46:01 ,31,90,0
  21:46:01 ,33,86,0
  21:46:00 ,42,54,0
  21:46:00 ,29,80,0
  21:46:00 ,66,0,0
  21:46:00 ,66,0,0
  21:46:00 ,64,0,0
  21:45:59 ,66,0,0
  21:45:59 ,66,0,0
  21:45:59 ,66,0,0
  21:45:59 ,66,0,0
  21:45:59 ,66,0,0
  21:45:58 ,66,0,0
  21:45:58 ,66,0,0
  21:45:58 ,66,0,0
  21:45:58 ,66,2,0
  21:45:58 ,54,61,0
  21:45:57 ,7,106,0
  21:45:57 ,66,0,0
  21:45:57 ,66,0,0
  21:45:57 ,65,0,0
  21:45:57 ,64,0,0
  21:45:56 ,65,0,0
  21:45:56 ,66,0,0
  21:45:56 ,66,0,0
  21:45:56 ,66,0,0
  21:45:56 ,66,0,0
  21:45:55 ,66,0,0
  21:45:55 ,66,0,0
  21:45:55 ,66,0,0
  21:45:55 ,66,0,0
  21:45:55 ,66,0,0
  21:45:54 ,66,0,0
  21:45:54 ,66,0,0
  21:45:54 ,66,0,0
  21:45:54 ,66,0,0
  21:45:54 ,66,0,0
  21:45:53 ,66,0,0
  21:45:53 ,66,0,0
  21:45:53 ,66,0,0
  21:45:53 ,66,0,0
  21:45:53 ,66,0,0
  21:45:52 ,66,0,0
  21:45:52 ,66,0,0
  21:45:52 ,66,0,0
  21:45:52 ,66,0,0
  21:45:52 ,66,0,0
  21:45:51 ,66,0,0
  21:45:51 ,66,0,0
  21:45:51 ,66,0,0
