时间,电压传感器值,电流传感器值,位移传感器值
  16:14:38 ,0,0,0
  16:14:37 ,0,0,0
  16:14:37 ,0,0,0
  16:14:37 ,0,0,0
  16:14:37 ,0,0,0
  16:14:37 ,0,0,0
  16:14:36 ,0,0,0
  16:14:36 ,0,0,0
  16:14:36 ,0,0,0
  16:14:36 ,0,0,0
  16:14:36 ,0,0,0
  16:14:35 ,0,0,0
  16:14:35 ,0,0,0
  16:14:35 ,0,0,0
  16:14:35 ,0,0,0
  16:14:35 ,0,0,0
  16:14:34 ,0,0,0
  16:14:34 ,0,0,0
  16:14:34 ,0,0,0
  16:14:34 ,0,0,0
  16:14:34 ,0,0,0
  16:14:33 ,0,0,0
  16:14:33 ,0,0,0
  16:14:33 ,0,0,0
  16:14:33 ,0,0,0
  16:14:33 ,0,0,0
  16:14:32 ,0,0,0
  16:14:32 ,0,0,0
  16:14:32 ,0,0,0
  16:14:32 ,0,0,0
  16:14:32 ,0,0,0
  16:14:31 ,0,0,0
  16:14:31 ,0,0,0
  16:14:31 ,0,0,0
  16:14:31 ,0,0,0
  16:14:31 ,0,0,0
  16:14:30 ,0,0,0
  16:14:30 ,0,0,0
  16:14:30 ,0,0,0
  16:14:30 ,0,0,0
  16:14:30 ,0,0,0
  16:14:29 ,0,0,0
  16:14:29 ,0,0,0
  16:14:29 ,0,0,0
  16:14:29 ,0,0,0
  16:14:29 ,0,0,0
  16:14:28 ,0,0,0
  16:14:28 ,0,0,0
  16:14:28 ,0,0,0
  16:14:28 ,0,0,0
  16:14:28 ,0,0,0
  16:14:27 ,0,0,0
  16:14:27 ,0,0,0
  16:14:27 ,0,0,0
  16:14:27 ,0,0,0
  16:14:27 ,0,0,0
  16:14:26 ,0,0,0
  16:14:26 ,0,0,0
  16:14:26 ,0,0,0
  16:14:26 ,0,0,0
  16:14:26 ,0,0,0
  16:14:25 ,0,0,0
  16:14:25 ,0,0,0
  16:14:25 ,0,0,0
  16:14:25 ,0,0,0
  16:14:25 ,0,0,0
  16:14:24 ,0,0,0
  16:14:18 ,0,0,0
  16:14:17 ,0,0,0
  16:14:17 ,0,0,0
  16:14:17 ,0,0,0
  16:14:17 ,0,0,0
  16:14:17 ,0,0,0
  16:14:16 ,0,0,0
  16:14:16 ,0,0,0
  16:14:16 ,0,0,0
  16:14:16 ,0,0,0
  16:14:16 ,0,0,0
  16:14:15 ,0,0,0
  16:14:15 ,0,0,0
  16:14:15 ,0,0,0
  16:14:15 ,0,0,0
  16:14:15 ,0,0,0
  16:14:14 ,0,0,0
  16:14:14 ,0,0,0
  16:14:14 ,64,0,0
  16:14:14 ,65,0,0
  16:14:14 ,65,0,0
  16:14:13 ,65,0,0
  16:14:13 ,65,0,0
  16:14:13 ,65,0,0
  16:14:13 ,65,0,0
  16:14:13 ,65,0,0
  16:14:12 ,65,0,0
  16:14:12 ,65,0,0
  16:14:12 ,65,0,0
  16:14:12 ,65,0,0
  16:14:12 ,65,0,0
  16:14:11 ,65,0,0
  16:14:11 ,65,0,0
  16:14:11 ,65,0,0
  16:14:11 ,65,0,0
  16:14:11 ,65,0,0
  16:14:10 ,65,0,0
  16:14:10 ,65,0,0
  16:14:10 ,65,0,0
  16:14:10 ,65,0,0
  16:14:10 ,65,0,0
  16:14:09 ,65,0,0
  16:14:09 ,65,0,0
  16:14:09 ,65,0,0
  16:14:09 ,65,0,0
  16:14:09 ,65,0,0
  16:14:08 ,65,0,0
  16:14:08 ,65,0,0
  16:14:08 ,65,0,0
  16:14:08 ,65,0,0
  16:14:08 ,65,0,0
  16:14:07 ,65,0,0
  16:14:07 ,65,0,0
  16:14:07 ,65,0,0
  16:14:07 ,65,0,0
  16:14:07 ,65,3,0
  16:14:06 ,45,33,0
  16:14:06 ,42,49,0
  16:14:06 ,3,98,0
  16:14:06 ,3,98,0
  16:14:06 ,3,98,0
  16:14:05 ,3,98,0
  16:14:05 ,3,98,0
  16:14:05 ,3,98,0
  16:14:05 ,3,98,0
  16:14:05 ,3,98,0
  16:14:04 ,3,97,0
  16:14:04 ,4,97,0
  16:14:04 ,4,97,0
  16:14:04 ,4,97,0
  16:14:04 ,4,95,0
  16:14:03 ,6,63,0
  16:14:03 ,65,0,0
  16:14:03 ,65,0,0
  16:14:03 ,65,0,0
  16:14:03 ,65,0,0
  16:14:02 ,65,0,0
  16:14:02 ,65,0,0
  16:14:02 ,65,0,0
  16:14:02 ,65,0,0
  16:14:02 ,65,0,0
  16:14:01 ,65,0,0
  16:14:01 ,65,0,0
  16:14:01 ,65,0,0
  16:14:01 ,65,0,0
  16:14:01 ,65,0,0
  16:14:00 ,65,0,0
  16:14:00 ,65,0,0
  16:14:00 ,65,0,0
  16:14:00 ,65,0,0
  16:14:00 ,65,0,0
  16:13:59 ,65,0,0
  16:13:59 ,65,0,0
  16:13:59 ,65,0,0
  16:13:59 ,65,0,0
  16:13:59 ,65,0,0
  16:13:58 ,65,0,0
  16:13:58 ,65,0,0
  16:13:58 ,65,0,0
  16:13:58 ,65,0,0
  16:13:58 ,65,0,0
  16:13:57 ,65,0,0
  16:13:57 ,65,0,0
  16:13:57 ,65,0,0
  16:13:57 ,65,0,0
  16:13:57 ,65,0,0
  16:13:56 ,65,0,0
  16:13:56 ,65,1,0
  16:13:56 ,65,1,0
  16:13:56 ,65,1,0
  16:13:56 ,65,1,0
  16:13:55 ,65,1,0
